year,decade,unique_words,density,unique_words_raw,density_raw,nouns,verbs,adjectives,syllables,most_used_term,most_used_freq,curses,total_curses,reading_score,sentiment,charted
1961,1960,36,72,65,158,34,30,10,70,rose,7,0,0,2.36784810127,0.9943,0
1961,1960,45,91,74,197,45,37,19,81,name,6,0,0,2.77177664975,0.9712,1
1961,1960,54,103,88,223,45,48,17,98,babi,10,0,0,3.88565022422,0.9974,1
1961,1960,42,148,66,263,81,61,36,76,love,24,0,0,2.88988593156,0.9993,1
1961,1960,28,131,60,354,56,77,5,57,come,38,0,0,2.94,0.9812,1
1961,1960,50,105,79,181,39,40,24,80,mari,13,0,0,3.13546961326,0.9612,1
1961,1960,39,75,70,160,28,35,21,81,take,13,0,0,3.50375,0.9978,1
1961,1960,50,94,78,190,62,17,8,83,never,6,0,0,3.07473684211,-0.5659,1
1961,1960,53,63,92,166,25,41,18,105,one,4,0,0,4.99385542169,-0.2263,1
1961,1960,48,57,79,124,29,24,7,83,river,5,0,0,4.64838709677,-0.34,1
1961,1960,47,127,77,219,88,34,13,82,dum,45,0,0,2.72826484018,0.9858,1
1961,1960,45,84,74,166,38,39,8,78,cri,8,0,0,3.07457831325,-0.9532,1
1961,1960,33,55,57,138,30,30,5,61,depend,5,0,0,1.96594202899,0.9682,1
1961,1960,35,78,65,174,39,48,4,64,sea,12,0,0,1.87022988506,-0.8225,1
1961,1960,77,114,125,266,57,48,20,141,said,9,0,0,5.73488721805,0.9403,1
1961,1960,22,40,40,89,23,24,4,47,fall,5,0,0,2.20146067416,0.7096,1
1961,1960,48,117,70,211,73,54,25,79,babi,12,0,0,2.72800947867,0.9981,1
1961,1960,25,43,49,97,28,16,2,53,heart,9,0,0,2.41742268041,-0.5859,0
1961,1960,40,111,70,256,44,53,37,76,sister,24,0,0,2.593125,0.9771,1
1961,1960,41,112,67,234,67,45,10,74,turnin,21,0,0,2.43162393162,0.2732,1
1961,1960,40,101,62,218,45,24,32,72,wing,14,0,0,2.20724770642,0.9887,1
1961,1960,39,71,59,138,22,34,17,72,sweet,8,0,0,2.90652173913,0.9948,1
1961,1960,39,70,65,143,35,21,11,69,love,6,0,0,2.83370629371,0.9879,1
1961,1960,29,45,49,115,13,36,8,52,boy,8,0,0,1.69565217391,0.886,1
1961,1960,57,117,95,256,41,54,19,106,love,7,0,0,3.9759375,0.9914,1
1961,1960,63,151,98,287,63,53,28,105,shop,15,0,0,4.18707317073,0.996,1
1961,1960,41,74,65,149,49,18,18,76,surrend,6,1,1,3.15879194631,-0.959,1
1961,1960,34,45,67,96,20,13,6,74,scare,6,0,0,5.06583333333,-0.9325,1
1961,1960,32,56,60,121,28,35,6,67,heart,4,0,0,3.28388429752,-0.4019,1
1961,1960,33,72,61,158,29,52,10,63,love,11,0,0,1.84506329114,0.9967,1
1961,1960,36,85,64,192,33,55,3,72,go,11,0,0,2.345,0.967,1
1961,1960,40,105,61,202,62,35,10,66,babi,14,0,0,2.16544554455,0.9136,1
1961,1960,35,110,60,218,37,60,15,66,oh,14,0,0,1.88247706422,0.9847,1
1961,1960,41,116,69,253,65,48,12,70,danc,12,0,0,2.35482213439,0.9738,1
1961,1960,48,76,78,173,52,31,5,86,hundr,5,0,0,3.39589595376,0.9682,1
1961,1960,37,58,75,156,11,53,9,72,cri,15,0,0,2.58615384615,0.9779,1
1961,1960,73,113,117,284,51,38,26,126,danc,8,0,0,5.10521126761,0.9217,1
1962,1960,49,176,86,266,26,38,8,93,la,113,0,0,3.60556390977,0.3612,1
1962,1960,25,117,44,207,61,16,29,47,cotton,15,0,0,0.98922705314,-0.765,1
1962,1960,47,73,77,186,32,47,8,87,come,13,0,0,3.43935483871,0.9042,1
1962,1960,45,104,76,254,38,57,9,75,love,10,0,0,2.5742519685,0.9966,1
1962,1960,25,83,46,170,35,57,10,48,hey,20,0,0,0.861764705882,0.886,1
1962,1960,25,57,50,154,24,25,15,51,good,9,0,0,1.04779220779,0.9595,1
1962,1960,25,65,39,128,38,21,6,42,come,8,0,0,0.621875,0.875,1
1962,1960,38,89,68,199,53,48,9,73,angel,14,0,0,2.24864321608,0.9944,1
1962,1960,194,383,262,829,180,197,65,312,rap,11,1,18,14.841013269,0.9348,1
1962,1960,52,101,84,205,47,28,21,91,night,10,0,0,3.54804878049,0.9661,1
1962,1960,48,134,81,281,68,46,19,92,thing,22,0,0,3.73334519573,0.9967,1
1962,1960,43,95,72,208,34,57,15,75,let,9,0,0,2.56480769231,0.743,1
1962,1960,42,85,77,213,41,48,4,84,never,23,0,0,2.96352112676,0.4914,1
1962,1960,35,71,59,156,36,27,15,61,babi,8,0,0,1.7541025641,0.5017,1
1962,1960,109,140,158,315,67,35,19,186,around,7,0,0,7.22761904762,0.6249,1
1962,1960,9,10,24,29,5,3,3,25,face,2,0,0,5.177676951,0.0,1
1962,1960,36,81,61,161,24,33,11,65,love,10,0,0,2.29397515528,0.991,1
1962,1960,37,59,64,144,17,40,9,63,friend,6,0,0,2.3025,0.991,1
1962,1960,41,73,63,158,53,26,5,69,kiss,6,0,0,2.29316455696,0.9849,1
1962,1960,46,76,74,149,26,37,25,83,love,9,0,0,3.71315436242,0.9973,1
1962,1960,36,96,66,234,39,78,3,75,come,16,0,0,2.48205128205,0.9153,1
1962,1960,16,42,33,86,8,31,7,33,rose,9,0,0,0.497906976744,0.9917,1
1962,1960,36,62,72,149,35,29,11,77,love,4,0,0,3.23798657718,-0.8059,0
1962,1960,43,109,69,217,48,52,23,70,would,9,0,0,2.1164516129,-0.9863,1
1962,1960,45,92,69,174,34,43,29,81,want,7,0,0,3.02310344828,0.9982,1
1962,1960,32,74,54,135,33,58,7,53,come,24,0,0,1.38259259259,0.8271,1
1962,1960,58,138,94,267,87,59,15,103,scream,10,0,0,4.03205992509,-0.4215,1
1962,1960,51,141,82,301,62,83,9,99,never,11,0,0,4.14106312292,0.4501,1
1962,1960,48,90,80,198,36,43,13,99,park,6,0,0,3.82,0.9926,1
1962,1960,27,58,44,115,27,25,8,45,love,5,0,0,0.977391304348,0.9928,1
1962,1960,57,116,88,243,40,65,15,101,yeah,5,0,0,3.99452674897,0.9761,1
1962,1960,56,104,93,218,53,49,10,105,around,12,0,0,3.99348623853,0.9755,1
1963,1960,18,103,27,159,48,15,12,30,right,18,0,0,-0.63358490566,-0.7351,1
1963,1960,54,209,78,447,142,28,3,78,ca,41,0,0,5.04906040268,0.128,1
1963,1960,40,81,78,148,30,27,19,77,oo,16,0,0,3.27918918919,0.9686,1
1963,1960,18,66,37,123,40,26,13,34,everybodi,27,0,0,0.0117886178862,0.4767,1
1963,1960,40,108,61,256,46,60,20,64,babi,27,0,0,2.04,0.8779,1
1963,1960,51,115,81,252,45,44,15,89,right,27,0,0,3.25746031746,0.9805,1
1963,1960,56,190,90,382,127,40,27,95,woman,11,0,0,4.75455497382,0.8853,1
1963,1960,52,71,86,150,41,21,19,104,somebodi,4,0,0,5.32133333333,0.9698,1
1963,1960,36,58,61,128,34,32,7,61,whi,7,0,0,2.3734375,0.7964,1
1963,1960,29,105,49,162,78,24,4,50,da,28,0,0,1.17197530864,0.9501,1
1963,1960,24,40,38,81,22,6,8,42,day,3,0,0,2.08851851852,0.2686,1
1963,1960,26,79,43,164,37,46,2,46,devil,10,0,0,0.839756097561,0.4767,1
1963,1960,38,92,61,172,41,25,24,57,one,10,0,0,1.44046511628,0.9859,1
1963,1960,56,177,93,323,127,58,9,93,work,21,0,0,4.04752321981,0.9509,1
